timestamp [UTC],relative altitude [m],horizontal velocity [m/s],vertical velocity [m/s],distance to takeoff [km],longitude,latitude
2022-10-10 09:50:19,2234,1.852085225064637,0.0,0.001852085225064637,9.315666666666667,47.15343333333333
2022-10-10 09:50:23,2234,1.852085225064637,0.0,0.0,9.315666666666667,47.15345
2022-10-10 09:50:24,2234,1.852085225064637,0.0,0.001852085225064637,9.315666666666667,47.15343333333333
2022-10-10 09:50:26,2233,2.2397605454612504,-1.0,0.0016081999635013764,9.315683333333332,47.15345
2022-10-10 09:50:27,2233,2.518973698203211,0.0,0.003908550128394991,9.315716666666667,47.15345
2022-10-10 09:50:28,2233,2.5189736980830353,0.0,0.006376337355622748,9.31575,47.15345
2022-10-10 09:50:29,2233,2.5189736983233875,0.0,0.008872939142513196,9.315783333333334,47.15345
2022-10-10 09:50:30,2232,2.5189736980830353,-1.0,0.011510468146908813,9.315816666666667,47.15345
2022-10-10 09:50:31,2232,4.207966172272908,0.0,0.015357681261986566,9.315866666666667,47.15346666666667
2022-10-10 09:50:32,2231,4.207965108335266,-1.0,0.0194843464737074,9.315916666666666,47.153483333333334
2022-10-10 09:50:33,2230,4.207964044492706,-1.0,0.023681955184990545,9.315966666666666,47.1535
2022-10-10 09:50:34,2229,6.297428320456444,-1.0,0.02991701281273281,9.31605,47.1535
2022-10-10 09:50:35,2225,6.564130611943132,-4.0,0.03714225005463881,9.316133333333333,47.15351666666667
2022-10-10 09:50:36,2224,7.7805600645846695,-1.0,0.04493911047850512,9.316233333333333,47.153533333333336
2022-10-10 09:50:37,2225,9.562930262845374,1.0,0.05399682568385966,9.31635,47.15356666666667
2022-10-10 09:50:38,2225,9.562925164550098,0.0,0.06335368252283631,9.316466666666667,47.1536
2022-10-10 09:50:39,2225,8.415912128080729,0.0,0.0715661385991719,9.316566666666667,47.15363333333333
2022-10-10 09:50:40,2225,7.500179469963375,0.0,0.07803612489479766,9.316633333333334,47.15368333333333
2022-10-10 09:50:41,2223,9.345682569428648,-2.0,0.08295306802751012,9.31665,47.15376666666667
2022-10-10 09:50:42,2221,9.345682302564695,-2.0,0.08649337275654546,9.316633333333334,47.15385
2022-10-10 09:50:43,2220,9.596906533167747,-1.0,0.08975203977224294,9.3166,47.153933333333335
2022-10-10 09:50:44,2220,10.001598572079722,0.0,0.09282899947393931,9.31655,47.154016666666664
2022-10-10 09:50:45,2221,10.542097745444847,1.0,0.09589077614088824,9.316483333333334,47.1541
2022-10-10 09:50:46,2221,9.596903422817302,0.0,0.10155791145223948,9.31645,47.154183333333336
2022-10-10 09:50:47,2220,7.5146374633870305,-1.0,0.10841597083677272,9.316466666666667,47.15425
2022-10-10 09:50:48,2216,8.415829132033195,-4.0,0.11629767079750244,9.316566666666667,47.15428333333333
2022-10-10 09:50:49,2211,10.075736791803074,-5.0,0.1232972755541539,9.3167,47.15428333333333
2022-10-10 09:50:50,2210,12.506163045356509,-1.0,0.1249285299970181,9.316833333333333,47.15421666666667
2022-10-10 09:50:51,2213,11.198753859421753,3.0,0.12300431745062738,9.316916666666666,47.154133333333334
2022-10-10 09:50:52,2215,10.5420962353798,2.0,0.12127075361515534,9.316983333333333,47.15405
2022-10-10 09:50:53,2217,7.500156120823213,2.0,0.1222802760085697,9.31705,47.154
2022-10-10 09:50:54,2214,7.500159305332808,-3.0,0.12447426785418228,9.317116666666667,47.15395
2022-10-10 09:50:55,2213,9.72319373669083,-1.0,0.12722508600976531,9.3172,47.15388333333333
2022-10-10 09:50:56,2210,11.952477008818752,-3.0,0.13161884420434755,9.3173,47.1538
2022-10-10 09:50:57,2209,11.198781623996044,-1.0,0.13539639602914977,9.317383333333334,47.15371666666667
2022-10-10 09:50:58,2210,10.582536077131893,1.0,0.1411268777797414,9.317483333333334,47.15365
2022-10-10 09:50:59,2210,9.008812797852904,0.0,0.14945344288220744,9.3176,47.15363333333333
2022-10-10 09:51:00,2205,7.780543951287047,-5.0,0.1579413118657558,9.3177,47.15365
2022-10-10 09:51:01,2200,11.737313928171977,-5.0,0.16447887417539184,9.31775,47.15375
2022-10-10 09:51:02,2200,13.025630502391547,0.0,0.16640539168795945,9.317733333333333,47.153866666666666
2022-10-10 09:51:03,2203,10.001600363432411,3.0,0.1651456986465208,9.317683333333333,47.15395
2022-10-10 09:51:04,2206,8.316248698325026,3.0,0.16381953120634773,9.317633333333333,47.154016666666664
2022-10-10 09:51:05,2206,7.51463812609897,0.0,0.1656862596363557,9.317616666666666,47.15408333333333
2022-10-10 09:51:06,2205,5.69721378685609,-1.0,0.16718933416458506,9.3176,47.154133333333334
2022-10-10 09:51:07,2204,9.34568113216242,-1.0,0.17069550049162685,9.317583333333333,47.15421666666667
2022-10-10 09:51:08,2202,7.514637331676898,-2.0,0.17382425979203042,9.317566666666666,47.15428333333333
2022-10-10 09:51:09,2201,9.260426123202548,-1.0,0.17911087710189919,9.317566666666666,47.15436666666667
2022-10-10 09:51:10,2201,9.34568038622121,0.0,0.1855163275279881,9.317583333333333,47.15445
2022-10-10 09:51:11,2200,9.345680120742337,-1.0,0.19233718220112644,9.3176,47.15453333333333
2022-10-10 09:51:12,2199,9.596898031514113,-1.0,0.2003006038531932,9.317633333333333,47.15461666666667
2022-10-10 09:51:13,2198,9.26042612178879,-1.0,0.20658704348252127,9.317633333333333,47.1547
2022-10-10 09:51:14,2197,9.345679322269513,-1.0,0.2139755535232486,9.31765,47.154783333333334
2022-10-10 09:51:15,2196,9.345679055373788,-1.0,0.22151647977190958,9.317666666666666,47.15486666666666
