angle_past_threshold,angle_future_threshold,average_r_value,average_p_value,average_std_err,score,data_loss
25,25,0.7725212621856201,9.39251329039518e-12,0.012123642983871214,0.4623003930101672,62.82021693976459
25,20,0.7539503063174262,2.5559855830721305e-10,0.01524639889228993,0.4508455438245471,61.180947987544684
25,15,0.7458594146441341,1.4900661352558792e-08,0.018903959381699885,0.44562524837811207,59.84324573536192
20,25,0.7402917874194425,3.4728334863146576e-10,0.014464575572351585,0.44272861479024533,60.58124783761966
25,10,0.724441386712429,2.5179122189491175e-06,0.021627026676405602,0.4325013739861511,58.29973505356526
20,20,0.7190734152126248,5.548738185174236e-10,0.017458394255874452,0.42969820953552534,59.082526509912405
15,25,0.7158665820234148,2.7714221807449784e-08,0.0160534861517807,0.4279145922846042,58.57538035961273
20,15,0.7108314573986859,1.8754760167464437e-08,0.021370613907155105,0.42436180742206797,57.6546480820182
10,25,0.7034032161209192,2.83692924099172e-06,0.018507552763016362,0.4201903233174776,56.7561340859348
15,20,0.6981303327638554,2.4277729258318566e-08,0.018732785027847157,0.4170049138722097,57.12475521253312
20,10,0.6864770835543226,2.4601313026846824e-06,0.023787659829801962,0.40950674611022253,55.721851254892925
15,15,0.6822919333830753,4.5317267071034066e-08,0.022953867062489416,0.40707975972841604,55.526134008749715
10,20,0.6792665155905244,3.0001276566884098e-06,0.022482366132085336,0.4053107727028091,54.95049504950495
10,15,0.6612836321835012,3.1157908639164e-06,0.026260479907296654,0.39414319658211183,52.652168910367045
15,10,0.6568541188933652,3.0304615698335294e-06,0.02565454398654007,0.39154610779889415,53.06639051892763
10,10,0.6379873690877315,6.114298495373973e-06,0.03094582899362192,0.37969600426372807,49.73551057957682
