timestamp [UTC],relative altitude [m],horizontal velocity [m/s],vertical velocity [m/s],distance to takeoff [km],longitude,latitude
14:00:59,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:00,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:01,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:02,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:03,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:04,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:05,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:06,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:07,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:08,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:09,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:10,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:11,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:12,0.0,0.0,0.0,0.0,8.701883,47.018483
14:01:13,-1.0,2.22,-1.0,0.0,8.701883,47.018483
14:01:14,-2.0,3.89,-1.0,0.01,8.701866,47.018466
14:01:15,-2.0,2.22,0.0,0.01,8.70185,47.018433
14:01:16,-3.0,2.22,-1.0,0.01,8.701833,47.018416
14:01:17,-4.0,3.89,-1.0,0.01,8.701816,47.0184
14:01:18,-5.0,3.89,-1.0,0.02,8.7018,47.018366
14:01:19,-7.0,6.11,-2.0,0.02,8.701783,47.018333
14:01:20,-9.0,6.11,-2.0,0.03,8.70175,47.018283
14:01:21,-9.0,6.11,0.0,0.04,8.701716,47.018233
14:01:22,-14.0,9.44,-5.0,0.05,8.701683,47.018183
14:01:23,-16.0,9.72,-2.0,0.06,8.70165,47.0181
14:01:24,-19.0,8.89,-3.0,0.06,8.701616,47.018016
14:01:25,-20.0,8.89,-1.0,0.07,8.70155,47.01795
14:01:26,-17.0,11.11,3.0,0.08,8.701483,47.017883
14:01:27,-18.0,9.72,-1.0,0.09,8.7014,47.0178
14:01:28,-18.0,8.33,0.0,0.1,8.701316,47.017733
14:01:29,-19.0,9.44,-1.0,0.11,8.701233,47.017683
14:01:30,-20.0,7.22,-1.0,0.12,8.701133,47.017633
14:01:31,-22.0,9.72,-2.0,0.12,8.70105,47.0176
14:01:32,-22.0,9.44,0.0,0.13,8.700933,47.017566
14:01:33,-23.0,9.72,-1.0,0.14,8.700833,47.017516
