timestamp [UTC],relative altitude [m],horizontal velocity [m/s],vertical velocity [m/s],distance to takeoff [km],longitude,latitude,status,position_str,position_int,average_r_value,average_p_value,average_std_err
2022-10-12 14:27:56,2289,7.780451875885065,0.0,0.0489522848737469,9.30375,47.154316666666666,False,Curve / Overlap / Error,1,-0.08956335879624272,2.6247618621230893e-09,0.02217810810907965
2022-10-12 14:27:57,2289,9.008701853716298,0.0,0.0577220966092166,9.303633333333334,47.15433333333333,False,Curve / Overlap / Error,1,-0.10165085473441215,1.0179912996056157e-09,0.021638757180851974
2022-10-12 14:27:58,2288,8.816261397758339,-1.0,0.0662381684426514,9.303516666666669,47.15433333333333,False,Curve / Overlap / Error,1,-0.10843580554635651,1.1921201653682029e-07,0.0241665707545483
2022-10-12 14:27:59,2288,9.562813001753202,0.0,0.0739313130693287,9.3034,47.1543,False,Curve / Overlap / Error,1,-0.08352681369678394,0.0001309286154157301,0.030576006405472284
2022-10-12 14:28:00,2286,9.379619419986025,-2.0,0.0809120190467689,9.3033,47.15425,False,Curve / Overlap / Error,1,0.0359857785499797,0.02252195909242355,0.03694486125722229
2022-10-12 14:28:01,2285,9.723170711566151,-1.0,0.0869475801817514,9.303216666666668,47.154183333333336,False,Curve / Overlap / Error,1,0.31901559519941336,0.4506727234616355,0.04380234716437728
2022-10-12 14:28:02,2285,11.198756080630464,0.0,0.0936160568717396,9.303133333333331,47.1541,False,Curve / Overlap / Error,1,0.5659932950675937,0.07829632176536498,0.05085639195446227
2022-10-12 14:28:03,2284,10.00159633436146,-1.0,0.0987993308386346,9.303083333333332,47.15401666666666,False,Curve / Overlap / Error,1,0.6702327630937225,0.007853217093239795,0.05645311646039058
2022-10-12 14:28:04,2283,10.001598572079722,-1.0,0.1046934359276002,9.303033333333332,47.153933333333335,False,Curve / Overlap / Error,1,0.7008578345236813,0.001086872415371803,0.06144794938302328
2022-10-12 14:28:05,2282,10.00160081106156,-1.0,0.1111853834596397,9.302983333333334,47.15385,False,Curve / Overlap / Error,1,0.6971749497407626,0.00033884601008740765,0.06616727310738994
2022-10-12 14:28:06,2282,9.596907569269362,0.0,0.1168787799720007,9.30295,47.15376666666667,False,Curve / Overlap / Error,1,0.6795519278993367,0.0010535439899509462,0.06924069723978996
2022-10-12 14:28:07,2281,9.59690860670374,-1.0,0.1232084079201496,9.302916666666668,47.15368333333333,False,Curve / Overlap / Error,1,0.6466139137262039,0.008219603698322978,0.0713007882749296
2022-10-12 14:28:08,2280,11.737315453393403,-1.0,0.1319488480803641,9.302866666666668,47.15358333333333,False,Curve / Overlap / Error,1,0.6021805415204355,0.05200484064172668,0.07005704306294001
2022-10-12 14:28:09,2279,9.596910886946471,-1.0,0.1390798868847243,9.302833333333334,47.1535,False,Curve / Overlap / Error,1,0.5453393488517121,0.2292958141601108,0.06432114107228823
2022-10-12 14:28:10,2278,10.00161245064506,-1.0,0.1475085419610624,9.302783333333334,47.153416666666665,False,Curve / Overlap / Error,1,0.47958272864161905,0.40822941033514476,0.04985068826742349
2022-10-12 14:28:11,2277,10.001614688317844,-1.0,0.1561294075721276,9.302733333333334,47.153333333333336,False,Curve / Overlap / Error,1,0.4063901912204838,0.09872705787285913,0.03119046334688266
2022-10-12 14:28:12,2276,10.001616927435808,-1.0,0.164912343208637,9.302683333333333,47.15325,False,Curve / Overlap / Error,1,0.3330070874867096,0.009234537903740304,0.03115507042918523
2022-10-12 14:28:13,2275,11.1988182743746,-1.0,0.1757206173502198,9.3026,47.15316666666666,False,Curve / Overlap / Error,1,0.2655756862958707,0.0003698762326943293,0.04889391800218658
2022-10-12 14:28:14,2274,9.723253855936616,-1.0,0.1853722090160687,9.302516666666667,47.1531,False,Curve / Overlap / Error,1,0.20965328886609014,9.914235883466973e-06,0.06194366066964092
2022-10-12 14:28:15,2274,10.42123424201874,0.0,0.1955815885861707,9.3024,47.15305,False,Curve / Overlap / Error,1,0.16240397641592746,2.2788406910059314e-06,0.06978101516761033
2022-10-12 14:28:16,2274,10.421241259238505,0.0,0.2058122097411656,9.302283333333332,47.153,False,Curve / Overlap / Error,1,0.12651915323204727,7.208109312379933e-06,0.06673950323388142
2022-10-12 14:28:17,2275,10.421248276831353,1.0,0.2159430016657102,9.302166666666666,47.15295,False,Curve / Overlap / Error,1,0.10310568424696276,9.726195062341662e-06,0.057848754199739234
2022-10-12 14:28:18,2273,10.421255294043508,-2.0,0.2264427104192784,9.30205,47.1529,False,Curve / Overlap / Error,1,0.0907065469569816,6.276218410840051e-06,0.047586735460053896
2022-10-12 14:28:19,2273,9.379779811958722,0.0,0.2357455999810177,9.30195,47.15285,False,Curve / Overlap / Error,1,0.08655073548892883,2.078569358694621e-06,0.03828906285391384
2022-10-12 14:28:20,2272,8.416012148059437,-1.0,0.2440095084555307,9.30185,47.152816666666666,False,Curve / Overlap / Error,1,0.08767086986286399,3.364649399661905e-07,0.030154853393872333
2022-10-12 14:28:21,2272,10.421274007972576,0.0,0.2542993996354353,9.301733333333331,47.152766666666665,False,Curve / Overlap / Error,1,0.09158031819942164,1.0105067775842811e-08,0.02278377495033527
2022-10-12 14:28:22,2271,8.416022788424868,-1.0,0.2625850594938269,9.301633333333331,47.15273333333333,False,Curve / Overlap / Error,1,0.09576761400238842,7.620245981133092e-11,0.01845753183387243
2022-10-12 14:28:23,2269,11.506453263936438,-2.0,0.2741003740624804,9.3015,47.152683333333336,False,Curve / Overlap / Error,1,0.099826199194197,2.458273700262326e-12,0.01741515946410141
2022-10-12 14:28:24,2268,9.008969741223828,-1.0,0.2822946179362182,9.301383333333334,47.15266666666667,False,Curve / Overlap / Error,1,0.10435138974700114,4.963568046444733e-10,0.02244645926533481
2022-10-12 14:28:25,2267,9.56306791623308,-1.0,0.2916306163635957,9.301266666666669,47.15263333333333,False,Curve / Overlap / Error,1,0.11080017218296145,3.5569078060885096e-09,0.02581778120448467
2022-10-12 14:28:26,2265,9.008977859066192,-2.0,0.300020260782312,9.30115,47.15261666666667,False,Curve / Overlap / Error,1,0.1182137049164122,2.8416947448318838e-08,0.02972216212642601
2022-10-12 14:28:27,2264,10.07605279108799,-1.0,0.3083144910242576,9.301016666666667,47.15261666666667,False,Curve / Overlap / Error,1,0.12225521506606268,7.108043694592489e-07,0.035225515075904754
