timestamp [UTC],relative altitude [m],horizontal velocity [m/s],vertical velocity [m/s],distance to takeoff [km],longitude,latitude
09:27:05,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:06,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:07,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:08,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:09,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:10,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:11,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:12,0.0,0.0,0.0,0.0,8.701766,47.01815
09:27:13,0.0,1.94,0.0,0.0,8.701766,47.01815
09:27:14,0.0,1.11,0.0,0.0,8.701766,47.018133
09:27:15,0.0,0.0,0.0,0.0,8.70175,47.018133
09:27:16,0.0,0.0,0.0,0.0,8.70175,47.018133
09:27:17,0.0,1.39,0.0,0.0,8.70175,47.018133
09:27:18,-1.0,1.94,-1.0,0.0,8.701733,47.018133
09:27:19,-2.0,2.22,-1.0,0.01,8.701733,47.018116
09:27:20,-4.0,3.89,-2.0,0.01,8.701716,47.0181
09:27:21,-4.0,6.11,0.0,0.02,8.7017,47.018066
09:27:22,-8.0,5.56,-4.0,0.02,8.701666,47.018016
09:27:23,-8.0,5.83,0.0,0.03,8.70165,47.017966
09:27:24,-8.0,7.78,0.0,0.04,8.701633,47.017916
09:27:25,-10.0,8.33,-2.0,0.04,8.7016,47.01785
09:27:26,-11.0,7.78,-1.0,0.05,8.70155,47.017783
09:27:27,-12.0,7.78,-1.0,0.06,8.701516,47.017716
09:27:28,-12.0,10.0,0.0,0.07,8.701483,47.01765
09:27:29,-13.0,7.5,-1.0,0.08,8.701433,47.017566
09:27:30,-13.0,8.33,0.0,0.08,8.701366,47.017516
09:27:31,-13.0,7.22,0.0,0.09,8.701283,47.017466
09:27:32,-14.0,6.67,-1.0,0.1,8.7012,47.017433
09:27:33,-16.0,7.5,-2.0,0.1,8.70115,47.017383
09:27:34,-19.0,7.22,-3.0,0.11,8.701083,47.017333
09:27:35,-20.0,9.44,-1.0,0.12,8.701,47.0173
09:27:36,-21.0,8.33,-1.0,0.13,8.7009,47.01725
09:27:37,-21.0,8.33,0.0,0.13,8.7008,47.017216
09:27:38,-22.0,6.67,-1.0,0.14,8.7007,47.017183
09:27:39,-22.0,7.78,0.0,0.15,8.700616,47.017166
09:27:40,-25.0,7.78,-3.0,0.15,8.700516,47.01715
09:27:41,-26.0,8.89,-1.0,0.16,8.700416,47.017133
09:27:42,-27.0,8.33,-1.0,0.17,8.7003,47.017116
09:27:43,-27.0,9.17,0.0,0.18,8.7002,47.017083
09:27:44,-27.0,7.78,0.0,0.18,8.700083,47.017066
09:27:45,-27.0,6.67,0.0,0.19,8.699983,47.01705
09:27:46,-28.0,6.67,-1.0,0.19,8.6999,47.017033
09:27:47,-31.0,6.39,-3.0,0.2,8.699816,47.017016
09:27:48,-33.0,7.78,-2.0,0.21,8.699733,47.017016
09:27:49,-33.0,6.67,0.0,0.21,8.699633,47.017
09:27:50,-35.0,7.5,-2.0,0.22,8.69955,47.016983
09:27:51,-34.0,5.56,1.0,0.22,8.69945,47.016983
09:27:52,-37.0,6.39,-3.0,0.23,8.699383,47.016966
09:27:53,-39.0,6.67,-2.0,0.23,8.6993,47.016966
09:27:54,-42.0,7.5,-3.0,0.24,8.699216,47.01695
09:27:55,-45.0,7.78,-3.0,0.25,8.699116,47.01695
09:27:56,-46.0,7.78,-1.0,0.26,8.699016,47.016933
09:27:57,-47.0,7.78,-1.0,0.26,8.698916,47.016916
09:27:58,-49.0,8.33,-2.0,0.27,8.698816,47.0169
09:27:59,-50.0,7.5,-1.0,0.28,8.698716,47.016866
09:28:00,-51.0,7.78,-1.0,0.29,8.698616,47.016866
09:28:01,-51.0,7.78,0.0,0.29,8.698516,47.01685
09:28:02,-52.0,6.67,-1.0,0.3,8.698416,47.016833
09:28:03,-55.0,7.78,-3.0,0.31,8.698333,47.016816
09:28:04,-56.0,6.67,-1.0,0.31,8.698233,47.0168
09:28:05,-57.0,7.78,-1.0,0.32,8.69815,47.016783
09:28:06,-58.0,7.78,-1.0,0.33,8.69805,47.016766
09:28:07,-61.0,7.5,-3.0,0.34,8.69795,47.01675
09:28:08,-62.0,7.5,-1.0,0.34,8.69785,47.01675
09:28:09,-62.0,7.5,0.0,0.35,8.69775,47.01675
09:28:10,-63.0,7.78,-1.0,0.36,8.69765,47.01675
09:28:11,-64.0,6.39,-1.0,0.36,8.69755,47.016733
09:28:12,-66.0,7.78,-2.0,0.37,8.697466,47.016733
09:28:13,-68.0,7.5,-2.0,0.38,8.697366,47.016716
09:28:14,-70.0,7.78,-2.0,0.38,8.697266,47.016716
09:28:15,-71.0,8.89,-1.0,0.39,8.697166,47.0167
09:28:16,-72.0,9.17,-1.0,0.4,8.69705,47.016683
09:28:17,-73.0,9.17,-1.0,0.41,8.696933,47.016666
09:28:18,-74.0,7.78,-1.0,0.42,8.696816,47.01665
09:28:19,-74.0,8.33,0.0,0.43,8.696716,47.016633
09:28:20,-76.0,7.5,-2.0,0.43,8.696616,47.0166
09:28:21,-77.0,9.44,-1.0,0.44,8.696516,47.0166
09:28:22,-78.0,7.5,-1.0,0.45,8.6964,47.016566
09:28:23,-80.0,7.78,-2.0,0.46,8.6963,47.016566
09:28:24,-82.0,7.78,-2.0,0.47,8.6962,47.01655
09:28:25,-84.0,8.89,-2.0,0.47,8.6961,47.016533
09:28:26,-85.0,7.78,-1.0,0.48,8.695983,47.016533
09:28:27,-86.0,8.89,-1.0,0.49,8.695883,47.016516
09:28:28,-87.0,7.5,-1.0,0.5,8.695766,47.016516
09:28:29,-87.0,7.78,0.0,0.5,8.695666,47.016516
09:28:30,-88.0,7.5,-1.0,0.51,8.695566,47.0165
09:28:31,-88.0,8.89,0.0,0.52,8.695466,47.0165
09:28:32,-92.0,7.5,-4.0,0.53,8.69535,47.016483
09:28:33,-93.0,8.89,-1.0,0.54,8.69525,47.016483
09:28:34,-94.0,10.0,-1.0,0.55,8.695133,47.016483
09:28:35,-95.0,8.89,-1.0,0.55,8.695,47.016483
09:28:36,-97.0,9.17,-2.0,0.56,8.694883,47.016483
09:28:37,-97.0,7.78,0.0,0.57,8.694766,47.0165
09:28:38,-98.0,7.5,-1.0,0.58,8.694666,47.016516
09:28:39,-100.0,8.89,-2.0,0.58,8.694566,47.016516
09:28:40,-101.0,8.89,-1.0,0.59,8.69445,47.016533
09:28:41,-102.0,8.89,-1.0,0.6,8.694333,47.016533
