timestamp [UTC],relative altitude [m],horizontal velocity [m/s],vertical velocity [m/s],distance to takeoff [km],longitude,latitude
13:06:24,-1.0,0.0,-1.0,0.0,8.9435,47.304066
13:06:25,-2.0,2.5,-1.0,0.0,8.9435,47.304066
13:06:26,-3.0,2.5,-1.0,0.01,8.943466,47.304066
13:06:27,-1.0,1.39,2.0,0.01,8.943433,47.304066
13:06:28,-1.0,0.0,0.0,0.01,8.943416,47.304066
13:06:29,-2.0,0.0,-1.0,0.01,8.943416,47.304066
13:06:30,-2.0,0.0,0.0,0.01,8.943416,47.304066
13:06:31,-2.0,1.11,0.0,0.01,8.943416,47.304066
13:06:32,-2.0,1.39,0.0,0.01,8.9434,47.304066
13:06:33,-2.0,1.39,0.0,0.01,8.943383,47.304066
13:06:34,-2.0,1.11,0.0,0.01,8.943366,47.304066
13:06:35,-3.0,1.39,-1.0,0.01,8.94335,47.304066
13:06:36,-3.0,1.39,0.0,0.01,8.943333,47.304066
13:06:37,-3.0,1.11,0.0,0.02,8.943316,47.304066
13:06:38,-4.0,2.5,-1.0,0.02,8.9433,47.304066
13:06:39,-6.0,5.28,-2.0,0.02,8.943266,47.304066
13:06:40,-6.0,5.28,0.0,0.03,8.9432,47.30405
13:06:41,-8.0,6.11,-2.0,0.03,8.94315,47.304016
13:06:42,-6.0,6.67,2.0,0.04,8.943083,47.303983
13:06:43,-4.0,6.11,2.0,0.05,8.943,47.303966
13:06:44,-4.0,5.28,0.0,0.05,8.942933,47.303933
13:06:45,-4.0,5.0,0.0,0.06,8.942866,47.303916
13:06:46,-5.0,5.28,-1.0,0.06,8.9428,47.303916
13:06:47,-6.0,3.89,-1.0,0.06,8.942733,47.3039
13:06:48,-7.0,6.39,-1.0,0.07,8.942683,47.3039
13:06:49,-8.0,6.39,-1.0,0.08,8.9426,47.3039
13:06:50,-9.0,7.5,-1.0,0.08,8.942516,47.3039
13:06:51,-10.0,6.39,-1.0,0.09,8.942416,47.3039
13:06:52,-10.0,7.5,0.0,0.1,8.942333,47.303916
13:06:53,-11.0,6.39,-1.0,0.1,8.942233,47.303916
