timestamp [UTC],relative altitude [m],horizontal velocity [m/s],vertical velocity [m/s],distance to takeoff [km],longitude,latitude
11:33:43,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:44,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:45,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:46,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:47,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:48,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:49,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:50,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:51,0.0,0.0,0.0,0.0,7.528466,46.22935
11:33:52,0.0,1.11,0.0,0.0,7.528466,46.22935
11:33:53,0.0,1.39,0.0,0.0,7.52845,46.22935
11:33:54,0.0,1.94,0.0,0.0,7.528433,46.22935
11:33:55,0.0,1.39,0.0,0.0,7.528433,46.229333
11:33:56,0.0,2.22,0.0,0.01,7.528416,46.229333
11:33:57,-2.0,1.39,-2.0,0.01,7.5284,46.229316
11:33:58,-3.0,4.44,-1.0,0.01,7.528383,46.229316
11:33:59,-5.0,5.28,-2.0,0.02,7.52835,46.229283
11:34:00,-7.0,7.5,-2.0,0.02,7.5283,46.22925
11:34:01,-6.0,6.67,1.0,0.03,7.528233,46.2292
11:34:02,-4.0,6.11,2.0,0.04,7.528183,46.22915
11:34:03,-5.0,3.89,-1.0,0.04,7.52815,46.2291
11:34:04,-7.0,6.11,-2.0,0.05,7.528133,46.229066
11:34:05,-8.0,6.67,-1.0,0.05,7.5281,46.229016
11:34:06,-10.0,8.33,-2.0,0.06,7.52805,46.228966
11:34:07,-10.0,8.33,0.0,0.07,7.528,46.2289
11:34:08,-11.0,6.67,-1.0,0.08,7.52795,46.228833
11:34:09,-12.0,6.67,-1.0,0.08,7.5279,46.228783
11:34:10,-12.0,6.67,0.0,0.09,7.52785,46.228733
11:34:11,-12.0,8.33,0.0,0.1,7.5278,46.228683
11:34:12,-12.0,5.83,0.0,0.1,7.52775,46.228616
11:34:13,-13.0,6.11,-1.0,0.11,7.527733,46.228566
11:34:14,-15.0,5.28,-2.0,0.12,7.5277,46.228516
11:34:15,-17.0,6.67,-2.0,0.12,7.52765,46.228483
11:34:16,-19.0,6.67,-2.0,0.13,7.527566,46.228466
11:34:17,-21.0,8.06,-2.0,0.13,7.527483,46.22845
11:34:18,-23.0,6.67,-2.0,0.14,7.527383,46.228433
11:34:19,-23.0,8.06,0.0,0.14,7.5273,46.228416
11:34:20,-23.0,6.67,0.0,0.14,7.5272,46.228433
11:34:21,-24.0,6.67,-1.0,0.15,7.527116,46.22845
11:34:22,-25.0,6.39,-1.0,0.15,7.527033,46.228466
